Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2023-12-03,65 to 74,3.15,2.67
2023-12-03,75+,4.15,3.72
2023-12-03,All Ages,2.24,2.06
2023-12-04,00 to 11,1.7,1.83
2023-12-04,12 to 15,0.99,0.94
2023-12-04,16 to 17,1.2,1.12
2023-12-04,18 to 24,1.58,1.61
2023-12-04,25 to 39,1.55,1.57
2023-12-04,40 to 49,1.72,1.69
2023-12-04,50 to 64,2.05,1.96
2023-12-04,65 to 74,2.58,2.67
2023-12-04,75+,3.41,3.68
2023-12-04,All Ages,2,2.05
2023-12-05,00 to 11,1.76,1.83
2023-12-05,12 to 15,1.09,0.97
2023-12-05,16 to 17,1.07,1.09
2023-12-05,18 to 24,1.61,1.6
2023-12-05,25 to 39,1.64,1.57
2023-12-05,40 to 49,1.77,1.69
2023-12-05,50 to 64,1.96,1.97
2023-12-05,65 to 74,2.49,2.68
2023-12-05,75+,3.41,3.65
2023-12-05,All Ages,2,2.05
2023-12-06,00 to 11,1.8,1.84
2023-12-06,12 to 15,1.06,1
2023-12-06,16 to 17,1.22,1.13
2023-12-06,18 to 24,1.55,1.58
2023-12-06,25 to 39,1.69,1.57
2023-12-06,40 to 49,1.69,1.69
2023-12-06,50 to 64,2.05,1.98
2023-12-06,65 to 74,2.67,2.69
2023-12-06,75+,3.76,3.67
2023-12-06,All Ages,2.09,2.05
2023-12-07,00 to 11,1.87,1.84
2023-12-07,12 to 15,1.16,1.05
2023-12-07,16 to 17,1.22,1.16
2023-12-07,18 to 24,1.56,1.57
2023-12-07,25 to 39,1.69,1.58
2023-12-07,40 to 49,1.7,1.7
2023-12-07,50 to 64,2.08,2.02
2023-12-07,65 to 74,2.61,2.68
2023-12-07,75+,3.59,3.68
2023-12-07,All Ages,2.09,2.07
2023-12-08,00 to 11,1.97,1.86
2023-12-08,12 to 15,1.05,1.07
2023-12-08,16 to 17,1.45,1.21
2023-12-08,18 to 24,1.44,1.56
2023-12-08,25 to 39,1.54,1.6
2023-12-08,40 to 49,1.64,1.71
2023-12-08,50 to 64,2,2.06
2023-12-08,65 to 74,2.74,2.72
2023-12-08,75+,3.74,3.7
2023-12-08,All Ages,2.09,2.09
2023-12-09,00 to 11,2.04,1.87
2023-12-09,12 to 15,1.35,1.12
2023-12-09,16 to 17,1.33,1.25
2023-12-09,18 to 24,1.48,1.57
2023-12-09,25 to 39,1.71,1.63
2023-12-09,40 to 49,1.74,1.72
2023-12-09,50 to 64,2.28,2.09
2023-12-09,65 to 74,3.09,2.75
2023-12-09,75+,4.22,3.74
2023-12-09,All Ages,2.29,2.11
2023-12-10,00 to 11,1.95,1.87
2023-12-10,12 to 15,1.53,1.15
2023-12-10,16 to 17,1.71,1.3
2023-12-10,18 to 24,1.71,1.56
2023-12-10,25 to 39,1.85,1.66
2023-12-10,40 to 49,1.89,1.73
2023-12-10,50 to 64,2.57,2.13
2023-12-10,65 to 74,3.39,2.77
2023-12-10,75+,4.36,3.76
2023-12-10,All Ages,2.41,2.13
2023-12-11,00 to 11,1.85,1.89
2023-12-11,12 to 15,1.49,1.24
2023-12-11,16 to 17,1.5,1.35
2023-12-11,18 to 24,1.7,1.58
2023-12-11,25 to 39,1.74,1.69
2023-12-11,40 to 49,1.91,1.76
2023-12-11,50 to 64,2.1,2.14
2023-12-11,65 to 74,2.83,2.81
2023-12-11,75+,3.68,3.8
2023-12-11,All Ages,2.18,2.16
2023-12-12,00 to 11,2.03,1.93
2023-12-12,12 to 15,1.55,1.31
2023-12-12,16 to 17,1.4,1.4
2023-12-12,18 to 24,1.76,1.6
2023-12-12,25 to 39,1.88,1.73
2023-12-12,40 to 49,1.97,1.79
2023-12-12,50 to 64,2.26,2.18
2023-12-12,65 to 74,2.88,2.87
2023-12-12,75+,3.87,3.87
2023-12-12,All Ages,2.3,2.2
2023-12-13,00 to 11,2.08,1.97
2023-12-13,12 to 15,1.27,1.35
2023-12-13,16 to 17,1.68,1.47
2023-12-13,18 to 24,1.89,1.65
2023-12-13,25 to 39,1.88,1.76
2023-12-13,40 to 49,2.06,1.85
2023-12-13,50 to 64,2.31,2.22
2023-12-13,65 to 74,2.88,2.9
2023-12-13,75+,3.99,3.9
2023-12-13,All Ages,2.34,2.24
2023-12-14,00 to 11,2.1,2
2023-12-14,12 to 15,1.49,1.39
2023-12-14,16 to 17,1.42,1.5
2023-12-14,18 to 24,1.71,1.67
2023-12-14,25 to 39,1.93,1.79
2023-12-14,40 to 49,1.94,1.88
2023-12-14,50 to 64,2.24,2.24
2023-12-14,65 to 74,2.89,2.94
2023-12-14,75+,4.01,3.96
2023-12-14,All Ages,2.33,2.28
2023-12-15,00 to 11,2.19,2.03
2023-12-15,12 to 15,1.29,1.43
2023-12-15,16 to 17,1.31,1.48
2023-12-15,18 to 24,1.8,1.72
2023-12-15,25 to 39,1.78,1.82
2023-12-15,40 to 49,1.96,1.93
2023-12-15,50 to 64,2.26,2.28
2023-12-15,65 to 74,2.98,2.98
2023-12-15,75+,4.06,4.01
2023-12-15,All Ages,2.36,2.31
2023-12-16,00 to 11,2.23,2.06
2023-12-16,12 to 15,1.66,1.46
2023-12-16,16 to 17,1.56,1.51
2023-12-16,18 to 24,1.82,1.77
2023-12-16,25 to 39,1.81,1.84
2023-12-16,40 to 49,2.2,1.99
2023-12-16,50 to 64,2.57,2.32
2023-12-16,65 to 74,3.59,3.04
2023-12-16,75+,4.65,4.07
2023-12-16,All Ages,2.58,2.35
2023-12-17,00 to 11,2.33,2.12
2023-12-17,12 to 15,1.95,1.52
2023-12-17,16 to 17,1.65,1.5
2023-12-17,18 to 24,1.96,1.8
2023-12-17,25 to 39,1.98,1.86
2023-12-17,40 to 49,2.34,2.05
2023-12-17,50 to 64,2.81,2.35
2023-12-17,65 to 74,3.72,3.09
2023-12-17,75+,5.13,4.17
2023-12-17,All Ages,2.75,2.4
2023-12-18,00 to 11,2.12,2.16
2023-12-18,12 to 15,1.64,1.54
2023-12-18,16 to 17,1.84,1.55
2023-12-18,18 to 24,2.05,1.86
2023-12-18,25 to 39,1.97,1.89
2023-12-18,40 to 49,2.13,2.08
2023-12-18,50 to 64,2.49,2.41
2023-12-18,65 to 74,3.41,3.18
2023-12-18,75+,4.53,4.3
2023-12-18,All Ages,2.57,2.46
2023-12-19,00 to 11,2.45,2.22
2023-12-19,12 to 15,1.64,1.55
2023-12-19,16 to 17,1.85,1.62
2023-12-19,18 to 24,2.11,1.91
2023-12-19,25 to 39,2.25,1.95
2023-12-19,40 to 49,2.44,2.15
2023-12-19,50 to 64,2.65,2.47
2023-12-19,65 to 74,3.43,3.26
2023-12-19,75+,4.81,4.44
2023-12-19,All Ages,2.79,2.53
2023-12-20,00 to 11,2.28,2.25
2023-12-20,12 to 15,1.57,1.6
2023-12-20,16 to 17,1.95,1.65
2023-12-20,18 to 24,2.24,1.96
2023-12-20,25 to 39,2.23,2
2023-12-20,40 to 49,2.48,2.21
2023-12-20,50 to 64,2.71,2.53
2023-12-20,65 to 74,3.55,3.36
2023-12-20,75+,4.92,4.57
2023-12-20,All Ages,2.82,2.6
2023-12-21,00 to 11,2.55,2.31
2023-12-21,12 to 15,1.25,1.58
2023-12-21,16 to 17,2.01,1.73
2023-12-21,18 to 24,2.04,2.01
2023-12-21,25 to 39,2.15,2.03
2023-12-21,40 to 49,2.46,2.29
2023-12-21,50 to 64,2.69,2.59
2023-12-21,65 to 74,3.66,3.47
2023-12-21,75+,4.8,4.69
2023-12-21,All Ages,2.82,2.67
2023-12-22,00 to 11,2.6,2.36
2023-12-22,12 to 15,1.47,1.61
2023-12-22,16 to 17,1.89,1.82
2023-12-22,18 to 24,1.99,2.03
2023-12-22,25 to 39,2.05,2.07
2023-12-22,40 to 49,2.32,2.34
2023-12-22,50 to 64,2.72,2.66
2023-12-22,65 to 74,3.69,3.57
2023-12-22,75+,4.79,4.8
2023-12-22,All Ages,2.82,2.74
2023-12-23,00 to 11,2.54,2.4
2023-12-23,12 to 15,1.75,1.62
2023-12-23,16 to 17,1.78,1.85
2023-12-23,18 to 24,2.13,2.07
2023-12-23,25 to 39,2.14,2.11
2023-12-23,40 to 49,2.47,2.37
2023-12-23,50 to 64,3.07,2.73
