Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2024-05-16,65 to 74,0.53,0.52
2024-05-16,75+,0.73,0.72
2024-05-16,All Ages,0.39,0.36
2024-05-17,00 to 11,0.34,0.33
2024-05-17,12 to 15,0.21,0.15
2024-05-17,16 to 17,0.26,0.2
2024-05-17,18 to 24,0.25,0.26
2024-05-17,25 to 39,0.23,0.25
2024-05-17,40 to 49,0.28,0.26
2024-05-17,50 to 64,0.38,0.36
2024-05-17,65 to 74,0.58,0.53
2024-05-17,75+,0.82,0.74
2024-05-17,All Ages,0.4,0.37
2024-05-18,00 to 11,0.33,0.33
2024-05-18,12 to 15,0.15,0.15
2024-05-18,16 to 17,0.21,0.2
2024-05-18,18 to 24,0.24,0.26
2024-05-18,25 to 39,0.24,0.25
2024-05-18,40 to 49,0.28,0.26
2024-05-18,50 to 64,0.42,0.37
2024-05-18,65 to 74,0.65,0.54
2024-05-18,75+,0.76,0.75
2024-05-18,All Ages,0.4,0.37
2024-05-19,00 to 11,0.38,0.34
2024-05-19,12 to 15,0.14,0.15
2024-05-19,16 to 17,0.23,0.2
2024-05-19,18 to 24,0.26,0.26
2024-05-19,25 to 39,0.26,0.25
2024-05-19,40 to 49,0.29,0.27
2024-05-19,50 to 64,0.39,0.38
2024-05-19,65 to 74,0.57,0.54
2024-05-19,75+,0.86,0.75
2024-05-19,All Ages,0.4,0.38
2024-05-20,00 to 11,0.36,0.34
2024-05-20,12 to 15,0.13,0.15
2024-05-20,16 to 17,0.24,0.21
2024-05-20,18 to 24,0.25,0.26
2024-05-20,25 to 39,0.26,0.25
2024-05-20,40 to 49,0.31,0.28
2024-05-20,50 to 64,0.36,0.38
2024-05-20,65 to 74,0.47,0.54
2024-05-20,75+,0.79,0.77
2024-05-20,All Ages,0.38,0.38
2024-05-21,00 to 11,0.4,0.35
2024-05-21,12 to 15,0.15,0.14
2024-05-21,16 to 17,0.18,0.2
2024-05-21,18 to 24,0.3,0.26
2024-05-21,25 to 39,0.28,0.26
2024-05-21,40 to 49,0.25,0.28
2024-05-21,50 to 64,0.42,0.39
2024-05-21,65 to 74,0.5,0.55
2024-05-21,75+,0.77,0.78
2024-05-21,All Ages,0.4,0.39
2024-05-22,00 to 11,0.41,0.37
2024-05-22,12 to 15,0.16,0.14
2024-05-22,16 to 17,0.29,0.23
2024-05-22,18 to 24,0.28,0.26
2024-05-22,25 to 39,0.32,0.27
2024-05-22,40 to 49,0.38,0.3
2024-05-22,50 to 64,0.4,0.39
2024-05-22,65 to 74,0.54,0.55
2024-05-22,75+,0.79,0.79
2024-05-22,All Ages,0.43,0.4
2024-05-23,00 to 11,0.34,0.37
2024-05-23,12 to 15,0.24,0.17
2024-05-23,16 to 17,0.3,0.24
2024-05-23,18 to 24,0.26,0.26
2024-05-23,25 to 39,0.28,0.27
2024-05-23,40 to 49,0.29,0.3
2024-05-23,50 to 64,0.38,0.39
2024-05-23,65 to 74,0.55,0.55
2024-05-23,75+,0.78,0.79
2024-05-23,All Ages,0.4,0.4
2024-05-24,00 to 11,0.39,0.37
2024-05-24,12 to 15,0.15,0.16
2024-05-24,16 to 17,0.17,0.23
2024-05-24,18 to 24,0.3,0.27
2024-05-24,25 to 39,0.29,0.28
2024-05-24,40 to 49,0.27,0.3
2024-05-24,50 to 64,0.42,0.4
2024-05-24,65 to 74,0.58,0.55
2024-05-24,75+,0.83,0.8
2024-05-24,All Ages,0.43,0.4
2024-05-25,00 to 11,0.42,0.38
2024-05-25,12 to 15,0.13,0.16
2024-05-25,16 to 17,0.14,0.22
2024-05-25,18 to 24,0.23,0.27
2024-05-25,25 to 39,0.22,0.27
2024-05-25,40 to 49,0.33,0.3
2024-05-25,50 to 64,0.4,0.4
2024-05-25,65 to 74,0.73,0.56
2024-05-25,75+,0.84,0.81
2024-05-25,All Ages,0.42,0.41
2024-05-26,00 to 11,0.37,0.38
2024-05-26,12 to 15,0.1,0.15
2024-05-26,16 to 17,0.18,0.22
2024-05-26,18 to 24,0.27,0.27
2024-05-26,25 to 39,0.29,0.28
2024-05-26,40 to 49,0.33,0.31
2024-05-26,50 to 64,0.5,0.41
2024-05-26,65 to 74,0.7,0.58
2024-05-26,75+,1.01,0.83
2024-05-26,All Ages,0.46,0.42
2024-05-27,00 to 11,0.43,0.39
2024-05-27,12 to 15,0.15,0.16
2024-05-27,16 to 17,0.15,0.2
2024-05-27,18 to 24,0.32,0.28
2024-05-27,25 to 39,0.32,0.29
2024-05-27,40 to 49,0.38,0.32
2024-05-27,50 to 64,0.49,0.43
2024-05-27,65 to 74,0.81,0.63
2024-05-27,75+,1.07,0.87
2024-05-27,All Ages,0.51,0.44
2024-05-28,00 to 11,0.36,0.39
2024-05-28,12 to 15,0.19,0.16
2024-05-28,16 to 17,0.18,0.2
2024-05-28,18 to 24,0.4,0.3
2024-05-28,25 to 39,0.36,0.3
2024-05-28,40 to 49,0.36,0.33
2024-05-28,50 to 64,0.41,0.43
2024-05-28,65 to 74,0.56,0.64
2024-05-28,75+,0.92,0.89
2024-05-28,All Ages,0.46,0.45
2024-05-29,00 to 11,0.49,0.4
2024-05-29,12 to 15,0.18,0.16
2024-05-29,16 to 17,0.18,0.19
2024-05-29,18 to 24,0.38,0.31
2024-05-29,25 to 39,0.37,0.31
2024-05-29,40 to 49,0.37,0.33
2024-05-29,50 to 64,0.46,0.44
2024-05-29,65 to 74,0.65,0.65
2024-05-29,75+,0.94,0.91
2024-05-29,All Ages,0.5,0.46
2024-05-30,00 to 11,0.44,0.41
2024-05-30,12 to 15,0.23,0.16
2024-05-30,16 to 17,0.18,0.17
2024-05-30,18 to 24,0.37,0.33
2024-05-30,25 to 39,0.36,0.32
2024-05-30,40 to 49,0.35,0.34
2024-05-30,50 to 64,0.42,0.44
2024-05-30,65 to 74,0.59,0.66
2024-05-30,75+,0.99,0.94
2024-05-30,All Ages,0.48,0.47
2024-05-31,00 to 11,0.47,0.42
2024-05-31,12 to 15,0.19,0.17
2024-05-31,16 to 17,0.26,0.18
2024-05-31,18 to 24,0.34,0.33
2024-05-31,25 to 39,0.39,0.33
2024-05-31,40 to 49,0.35,0.35
2024-05-31,50 to 64,0.41,0.44
2024-05-31,65 to 74,0.66,0.67
2024-05-31,75+,0.93,0.96
2024-05-31,All Ages,0.49,0.48
2024-06-01,00 to 11,0.51,0.44
2024-06-01,12 to 15,0.14,0.17
2024-06-01,16 to 17,0.19,0.19
2024-06-01,18 to 24,0.36,0.35
2024-06-01,25 to 39,0.35,0.35
2024-06-01,40 to 49,0.4,0.36
2024-06-01,50 to 64,0.56,0.46
2024-06-01,65 to 74,0.89,0.69
2024-06-01,75+,1.14,1
2024-06-01,All Ages,0.57,0.49
2024-06-02,00 to 11,0.46,0.45
2024-06-02,12 to 15,0.19,0.18
2024-06-02,16 to 17,0.25,0.2
2024-06-02,18 to 24,0.41,0.37
2024-06-02,25 to 39,0.37,0.36
2024-06-02,40 to 49,0.46,0.38
2024-06-02,50 to 64,0.55,0.47
2024-06-02,65 to 74,0.83,0.7
2024-06-02,75+,1.15,1.01
2024-06-02,All Ages,0.57,0.51
2024-06-03,00 to 11,0.5,0.46
2024-06-03,12 to 15,0.25,0.2
2024-06-03,16 to 17,0.33,0.23
2024-06-03,18 to 24,0.39,0.38
2024-06-03,25 to 39,0.41,0.37
2024-06-03,40 to 49,0.39,0.38
2024-06-03,50 to 64,0.49,0.47
2024-06-03,65 to 74,0.68,0.69
2024-06-03,75+,0.99,1
2024-06-03,All Ages,0.53,0.51
2024-06-04,00 to 11,0.53,0.49
2024-06-04,12 to 15,0.2,0.2
2024-06-04,16 to 17,0.32,0.25
2024-06-04,18 to 24,0.47,0.39
2024-06-04,25 to 39,0.4,0.38
2024-06-04,40 to 49,0.41,0.39
2024-06-04,50 to 64,0.58,0.49
2024-06-04,65 to 74,0.72,0.71
2024-06-04,75+,1.01,1.02
2024-06-04,All Ages,0.57,0.53
2024-06-05,00 to 11,0.52,0.49
2024-06-05,12 to 15,0.22,0.2
2024-06-05,16 to 17,0.4,0.28
2024-06-05,18 to 24,0.4,0.39
2024-06-05,25 to 39,0.44,0.39
2024-06-05,40 to 49,0.44,0.4
2024-06-05,50 to 64,0.61,0.52
2024-06-05,65 to 74,0.75,0.72
2024-06-05,75+,1.09,1.04
2024-06-05,All Ages,0.59,0.54
2024-06-06,00 to 11,0.6,0.51
2024-06-06,12 to 15,0.24,0.2
2024-06-06,16 to 17,0.14,0.27
2024-06-06,18 to 24,0.42,0.4
2024-06-06,25 to 39,0.42,0.4
2024-06-06,40 to 49,0.45,0.41
2024-06-06,50 to 64,0.5,0.53
2024-06-06,65 to 74,0.8,0.75
2024-06-06,75+,1.1,1.06
2024-06-06,All Ages,0.58,0.56
2024-06-07,00 to 11,0.55,0.52
2024-06-07,12 to 15,0.29,0.22
2024-06-07,16 to 17,0.32,0.28
2024-06-07,18 to 24,0.53,0.43
2024-06-07,25 to 39,0.38,0.4
2024-06-07,40 to 49,0.41,0.42
2024-06-07,50 to 64,0.54,0.55
2024-06-07,65 to 74,0.8,0.77
2024-06-07,75+,1.09,1.08
2024-06-07,All Ages,0.59,0.57
2024-06-08,00 to 11,0.6,0.54
2024-06-08,12 to 15,0.19,0.23
2024-06-08,16 to 17,0.22,0.29
2024-06-08,18 to 24,0.49,0.45
2024-06-08,25 to 39,0.44,0.41
2024-06-08,40 to 49,0.45,0.43
2024-06-08,50 to 64,0.61,0.55
2024-06-08,65 to 74,0.99,0.79
2024-06-08,75+,1.24,1.09
2024-06-08,All Ages,0.65,0.58
2024-06-09,00 to 11,0.66,0.57
2024-06-09,12 to 15,0.19,0.23
2024-06-09,16 to 17,0.2,0.28
2024-06-09,18 to 24,0.38,0.44
2024-06-09,25 to 39,0.44,0.42
2024-06-09,40 to 49,0.53,0.44
2024-06-09,50 to 64,0.67,0.57
2024-06-09,65 to 74,0.98,0.81
2024-06-09,75+,1.26,1.11
2024-06-09,All Ages,0.66,0.59
2024-06-10,00 to 11,0.63,0.58
2024-06-10,12 to 15,0.17,0.21
2024-06-10,16 to 17,0.38,0.29
2024-06-10,18 to 24,0.48,0.45
2024-06-10,25 to 39,0.42,0.42
2024-06-10,40 to 49,0.54,0.46
2024-06-10,50 to 64,0.57,0.58
2024-06-10,65 to 74,0.74,0.82
2024-06-10,75+,1.19,1.14
2024-06-10,All Ages,0.62,0.61
2024-06-11,00 to 11,0.6,0.59
2024-06-11,12 to 15,0.23,0.22
2024-06-11,16 to 17,0.25,0.27
2024-06-11,18 to 24,0.58,0.47
2024-06-11,25 to 39,0.51,0.44
2024-06-11,40 to 49,0.47,0.47
2024-06-11,50 to 64,0.6,0.58
2024-06-11,65 to 74,0.83,0.83
2024-06-11,75+,1.17,1.16
2024-06-11,All Ages,0.65,0.62
2024-06-12,00 to 11,0.7,0.62
2024-06-12,12 to 15,0.17,0.21
2024-06-12,16 to 17,0.43,0.28
2024-06-12,18 to 24,0.57,0.49
2024-06-12,25 to 39,0.53,0.45
2024-06-12,40 to 49,0.57,0.49
2024-06-12,50 to 64,0.67,0.59
2024-06-12,65 to 74,0.92,0.86
2024-06-12,75+,1.22,1.18
2024-06-12,All Ages,0.71,0.64
2024-06-13,00 to 11,0.78,0.64
2024-06-13,12 to 15,0.25,0.21
2024-06-13,16 to 17,0.35,0.31
2024-06-13,18 to 24,0.51,0.51
2024-06-13,25 to 39,0.52,0.46
2024-06-13,40 to 49,0.55,0.5
2024-06-13,50 to 64,0.72,0.62
2024-06-13,65 to 74,0.99,0.89
2024-06-13,75+,1.35,1.22
2024-06-13,All Ages,0.74,0.66
2024-06-14,00 to 11,0.85,0.68
2024-06-14,12 to 15,0.2,0.2
2024-06-14,16 to 17,0.3,0.3
2024-06-14,18 to 24,0.42,0.49
2024-06-14,25 to 39,0.51,0.48
2024-06-14,40 to 49,0.54,0.52
2024-06-14,50 to 64,0.67,0.64
2024-06-14,65 to 74,0.98,0.91
2024-06-14,75+,1.29,1.25
2024-06-14,All Ages,0.73,0.68
2024-06-15,00 to 11,0.77,0.71
2024-06-15,12 to 15,0.33,0.22
2024-06-15,16 to 17,0.32,0.32
2024-06-15,18 to 24,0.51,0.49
2024-06-15,25 to 39,0.54,0.5
2024-06-15,40 to 49,0.62,0.54
2024-06-15,50 to 64,0.78,0.66
2024-06-15,65 to 74,1.16,0.94
2024-06-15,75+,1.46,1.27
2024-06-15,All Ages,0.8,0.7
2024-06-16,00 to 11,0.87,0.74
2024-06-16,12 to 15,0.32,0.24
2024-06-16,16 to 17,0.45,0.35
2024-06-16,18 to 24,0.59,0.52
2024-06-16,25 to 39,0.56,0.51
2024-06-16,40 to 49,0.65,0.56
2024-06-16,50 to 64,0.88,0.69
2024-06-16,65 to 74,1.26,0.97
2024-06-16,75+,1.74,1.33
2024-06-16,All Ages,0.89,0.73
2024-06-17,00 to 11,0.78,0.76
2024-06-17,12 to 15,0.26,0.25
2024-06-17,16 to 17,0.36,0.35
2024-06-17,18 to 24,0.6,0.54
2024-06-17,25 to 39,0.54,0.53
2024-06-17,40 to 49,0.59,0.57
2024-06-17,50 to 64,0.75,0.72
2024-06-17,65 to 74,1.08,1.03
2024-06-17,75+,1.57,1.39
2024-06-17,All Ages,0.8,0.76
2024-06-18,00 to 11,0.97,0.82
2024-06-18,12 to 15,0.26,0.25
2024-06-18,16 to 17,0.39,0.37
2024-06-18,18 to 24,0.58,0.54
2024-06-18,25 to 39,0.63,0.55
2024-06-18,40 to 49,0.68,0.6
2024-06-18,50 to 64,0.79,0.75
2024-06-18,65 to 74,1.03,1.05
2024-06-18,75+,1.45,1.43
2024-06-18,All Ages,0.83,0.79
2024-06-19,00 to 11,0.96,0.85
2024-06-19,12 to 15,0.27,0.27
2024-06-19,16 to 17,0.43,0.37
2024-06-19,18 to 24,0.77,0.57
2024-06-19,25 to 39,0.73,0.58
2024-06-19,40 to 49,0.7,0.62
2024-06-19,50 to 64,0.79,0.77
2024-06-19,65 to 74,1.19,1.09
2024-06-19,75+,1.6,1.49
2024-06-19,All Ages,0.91,0.81
2024-06-20,00 to 11,1.02,0.89
2024-06-20,12 to 15,0.39,0.29
2024-06-20,16 to 17,0.51,0.4
2024-06-20,18 to 24,0.71,0.6
2024-06-20,25 to 39,0.68,0.6
2024-06-20,40 to 49,0.75,0.65
2024-06-20,50 to 64,0.81,0.78
2024-06-20,65 to 74,1.19,1.12
2024-06-20,75+,1.65,1.53
2024-06-20,All Ages,0.93,0.84
2024-06-21,00 to 11,0.97,0.9
2024-06-21,12 to 15,0.35,0.31
2024-06-21,16 to 17,0.28,0.39
2024-06-21,18 to 24,0.78,0.65
2024-06-21,25 to 39,0.62,0.61
2024-06-21,40 to 49,0.69,0.67
2024-06-21,50 to 64,0.86,0.81
2024-06-21,65 to 74,1.18,1.15
2024-06-21,75+,1.68,1.59
2024-06-21,All Ages,0.93,0.87
2024-06-22,00 to 11,1.18,0.96
2024-06-22,12 to 15,0.3,0.3
2024-06-22,16 to 17,0.52,0.42
2024-06-22,18 to 24,0.68,0.67
2024-06-22,25 to 39,0.63,0.63
2024-06-22,40 to 49,0.63,0.67
2024-06-22,50 to 64,0.9,0.82
2024-06-22,65 to 74,1.45,1.19
2024-06-22,75+,1.9,1.65
2024-06-22,All Ages,0.99,0.9
2024-06-23,00 to 11,1.1,1
2024-06-23,12 to 15,0.38,0.31
2024-06-23,16 to 17,0.49,0.43
2024-06-23,18 to 24,0.66,0.68
2024-06-23,25 to 39,0.71,0.65
2024-06-23,40 to 49,0.79,0.69
2024-06-23,50 to 64,0.99,0.84
2024-06-23,65 to 74,1.45,1.22
2024-06-23,75+,2.06,1.69
2024-06-23,All Ages,1.04,0.92
2024-06-24,00 to 11,1,1.03
2024-06-24,12 to 15,0.33,0.32
2024-06-24,16 to 17,0.5,0.45
2024-06-24,18 to 24,0.77,0.71
2024-06-24,25 to 39,0.7,0.67
2024-06-24,40 to 49,0.69,0.71
2024-06-24,50 to 64,0.94,0.87
2024-06-24,65 to 74,1.22,1.24
2024-06-24,75+,1.75,1.72
2024-06-24,All Ages,0.97,0.94
2024-06-25,00 to 11,1.14,1.05
2024-06-25,12 to 15,0.42,0.35
2024-06-25,16 to 17,0.42,0.45
2024-06-25,18 to 24,0.86,0.75
2024-06-25,25 to 39,0.82,0.7
2024-06-25,40 to 49,0.84,0.73
2024-06-25,50 to 64,0.98,0.9
2024-06-25,65 to 74,1.26,1.27
2024-06-25,75+,1.75,1.76
2024-06-25,All Ages,1.05,0.97
2024-06-26,00 to 11,1.29,1.1
2024-06-26,12 to 15,0.43,0.37
2024-06-26,16 to 17,0.56,0.47
2024-06-26,18 to 24,0.95,0.77
2024-06-26,25 to 39,0.85,0.72
2024-06-26,40 to 49,0.91,0.76
2024-06-26,50 to 64,1.07,0.94
2024-06-26,65 to 74,1.32,1.29
2024-06-26,75+,1.76,1.79
2024-06-26,All Ages,1.11,1
2024-06-27,00 to 11,1.26,1.13
2024-06-27,12 to 15,0.52,0.39
2024-06-27,16 to 17,0.57,0.48
2024-06-27,18 to 24,0.77,0.78
2024-06-27,25 to 39,0.81,0.74
2024-06-27,40 to 49,0.88,0.78
2024-06-27,50 to 64,1.03,0.97
2024-06-27,65 to 74,1.28,1.3
2024-06-27,75+,1.88,1.82
2024-06-27,All Ages,1.09,1.02
2024-06-28,00 to 11,1.38,1.19
2024-06-28,12 to 15,0.42,0.4
2024-06-28,16 to 17,0.47,0.51
2024-06-28,18 to 24,0.75,0.78
2024-06-28,25 to 39,0.8,0.76
2024-06-28,40 to 49,0.87,0.8
2024-06-28,50 to 64,0.99,0.99
2024-06-28,65 to 74,1.41,1.34
2024-06-28,75+,1.93,1.85
2024-06-28,All Ages,1.11,1.05
2024-06-29,00 to 11,1.27,1.2
2024-06-29,12 to 15,0.36,0.41
2024-06-29,16 to 17,0.45,0.5
2024-06-29,18 to 24,0.78,0.79
2024-06-29,25 to 39,0.81,0.78
2024-06-29,40 to 49,0.87,0.83
2024-06-29,50 to 64,1.18,1.02
2024-06-29,65 to 74,1.71,1.37
2024-06-29,75+,2.39,1.92
2024-06-29,All Ages,1.22,1.08
2024-06-30,00 to 11,1.57,1.27
2024-06-30,12 to 15,0.37,0.41
2024-06-30,16 to 17,0.7,0.53
2024-06-30,18 to 24,0.88,0.82
2024-06-30,25 to 39,0.85,0.8
2024-06-30,40 to 49,0.92,0.85
2024-06-30,50 to 64,1.25,1.06
2024-06-30,65 to 74,1.91,1.43
2024-06-30,75+,2.37,1.95
2024-06-30,All Ages,1.3,1.11
2024-07-01,00 to 11,1.49,1.35
2024-07-01,12 to 15,0.57,0.44
2024-07-01,16 to 17,0.48,0.52
2024-07-01,18 to 24,0.99,0.85
2024-07-01,25 to 39,0.94,0.84
2024-07-01,40 to 49,0.95,0.89
2024-07-01,50 to 64,1.09,1.08
2024-07-01,65 to 74,1.41,1.46
2024-07-01,75+,2.03,2
2024-07-01,All Ages,1.21,1.15
2024-07-02,00 to 11,1.55,1.4
2024-07-02,12 to 15,0.63,0.47
2024-07-02,16 to 17,0.84,0.58
2024-07-02,18 to 24,1.02,0.88
2024-07-02,25 to 39,1.04,0.87
2024-07-02,40 to 49,1.09,0.93
2024-07-02,50 to 64,1.21,1.11
2024-07-02,65 to 74,1.47,1.49
2024-07-02,75+,2.16,2.06
2024-07-02,All Ages,1.32,1.19
2024-07-03,00 to 11,1.61,1.45
2024-07-03,12 to 15,0.4,0.47
2024-07-03,16 to 17,0.65,0.59
2024-07-03,18 to 24,1.01,0.89
2024-07-03,25 to 39,1.01,0.89
2024-07-03,40 to 49,1.07,0.95
2024-07-03,50 to 64,1.24,1.14
2024-07-03,65 to 74,1.53,1.52
2024-07-03,75+,2.29,2.14
2024-07-03,All Ages,1.34,1.23
2024-07-04,00 to 11,1.97,1.55
2024-07-04,12 to 15,0.52,0.47
2024-07-04,16 to 17,0.76,0.62
2024-07-04,18 to 24,1.14,0.94
2024-07-04,25 to 39,1.06,0.93
2024-07-04,40 to 49,1.22,0.99
2024-07-04,50 to 64,1.47,1.2
2024-07-04,65 to 74,2.2,1.64
2024-07-04,75+,2.66,2.24
2024-07-04,All Ages,1.58,1.29
2024-07-05,00 to 11,1.9,1.62
2024-07-05,12 to 15,0.61,0.49
2024-07-05,16 to 17,0.71,0.65
2024-07-05,18 to 24,0.91,0.96
2024-07-05,25 to 39,0.97,0.95
2024-07-05,40 to 49,1.04,1.02
2024-07-05,50 to 64,1.24,1.23
2024-07-05,65 to 74,1.77,1.7
2024-07-05,75+,2.44,2.32
2024-07-05,All Ages,1.4,1.34
2024-07-06,00 to 11,2.02,1.73
2024-07-06,12 to 15,0.65,0.54
2024-07-06,16 to 17,0.86,0.71
2024-07-06,18 to 24,1.01,0.99
2024-07-06,25 to 39,1.04,0.98
2024-07-06,40 to 49,1.14,1.06
2024-07-06,50 to 64,1.44,1.27
2024-07-06,65 to 74,2.09,1.75
2024-07-06,75+,2.93,2.39
2024-07-06,All Ages,1.58,1.39
2024-07-07,00 to 11,2.22,1.83
2024-07-07,12 to 15,0.69,0.58
2024-07-07,16 to 17,1.01,0.76
2024-07-07,18 to 24,1.18,1.03
2024-07-07,25 to 39,1.16,1.03
2024-07-07,40 to 49,1.26,1.11
2024-07-07,50 to 64,1.5,1.3
2024-07-07,65 to 74,2.38,1.81
2024-07-07,75+,2.93,2.47
2024-07-07,All Ages,1.69,1.44
2024-07-08,00 to 11,2.05,1.91
2024-07-08,12 to 15,0.75,0.61
2024-07-08,16 to 17,0.84,0.81
2024-07-08,18 to 24,1.1,1.05
2024-07-08,25 to 39,1.2,1.07
2024-07-08,40 to 49,1.17,1.14
2024-07-08,50 to 64,1.4,1.35
2024-07-08,65 to 74,1.77,1.87
2024-07-08,75+,2.38,2.52
2024-07-08,All Ages,1.51,1.48
2024-07-09,00 to 11,2.2,2
2024-07-09,12 to 15,0.61,0.61
2024-07-09,16 to 17,0.85,0.81
2024-07-09,18 to 24,1.46,1.12
2024-07-09,25 to 39,1.36,1.12
2024-07-09,40 to 49,1.25,1.16
2024-07-09,50 to 64,1.42,1.38
2024-07-09,65 to 74,1.99,1.94
2024-07-09,75+,2.51,2.57
2024-07-09,All Ages,1.64,1.53
2024-07-10,00 to 11,2.3,2.1
2024-07-10,12 to 15,0.6,0.63
2024-07-10,16 to 17,0.87,0.84
2024-07-10,18 to 24,1.54,1.19
2024-07-10,25 to 39,1.38,1.17
2024-07-10,40 to 49,1.35,1.21
2024-07-10,50 to 64,1.4,1.41
2024-07-10,65 to 74,1.92,2
2024-07-10,75+,2.53,2.61
2024-07-10,All Ages,1.67,1.58
2024-07-11,00 to 11,2.33,2.14
2024-07-11,12 to 15,0.67,0.65
2024-07-11,16 to 17,0.96,0.87
2024-07-11,18 to 24,1.27,1.21
2024-07-11,25 to 39,1.36,1.21
2024-07-11,40 to 49,1.31,1.22
2024-07-11,50 to 64,1.52,1.42
2024-07-11,65 to 74,1.77,1.94
2024-07-11,75+,2.54,2.59
2024-07-11,All Ages,1.65,1.59
2024-07-12,00 to 11,2.58,2.24
2024-07-12,12 to 15,0.75,0.67
2024-07-12,16 to 17,1.15,0.93
2024-07-12,18 to 24,1.26,1.26
2024-07-12,25 to 39,1.23,1.25
2024-07-12,40 to 49,1.2,1.24
2024-07-12,50 to 64,1.49,1.45
2024-07-12,65 to 74,1.9,1.96
2024-07-12,75+,2.69,2.63
2024-07-12,All Ages,1.67,1.63
2024-07-13,00 to 11,2.61,2.33
2024-07-13,12 to 15,0.79,0.69
2024-07-13,16 to 17,1.11,0.97
2024-07-13,18 to 24,1.21,1.29
2024-07-13,25 to 39,1.17,1.27
2024-07-13,40 to 49,1.25,1.25
2024-07-13,50 to 64,1.61,1.47
2024-07-13,65 to 74,2.31,1.99
2024-07-13,75+,3.19,2.67
2024-07-13,All Ages,1.79,1.66
2024-07-14,00 to 11,2.76,2.41
2024-07-14,12 to 15,0.78,0.71
2024-07-14,16 to 17,1.24,1
2024-07-14,18 to 24,1.44,1.33
2024-07-14,25 to 39,1.4,1.3
2024-07-14,40 to 49,1.46,1.28
2024-07-14,50 to 64,1.8,1.51
2024-07-14,65 to 74,2.43,2
2024-07-14,75+,3.23,2.7
2024-07-14,All Ages,1.95,1.69
2024-07-15,00 to 11,2.54,2.48
2024-07-15,12 to 15,0.82,0.72
2024-07-15,16 to 17,0.79,1
2024-07-15,18 to 24,1.5,1.39
2024-07-15,25 to 39,1.41,1.33
2024-07-15,40 to 49,1.41,1.32
2024-07-15,50 to 64,1.55,1.54
2024-07-15,65 to 74,2.11,2.05
2024-07-15,75+,2.82,2.77
2024-07-15,All Ages,1.79,1.73
2024-07-16,00 to 11,2.92,2.58
2024-07-16,12 to 15,0.98,0.77
2024-07-16,16 to 17,0.98,1.02
2024-07-16,18 to 24,1.65,1.41
2024-07-16,25 to 39,1.59,1.37
2024-07-16,40 to 49,1.58,1.37
2024-07-16,50 to 64,1.7,1.58
2024-07-16,65 to 74,2.12,2.07
2024-07-16,75+,2.9,2.83
2024-07-16,All Ages,1.94,1.78
2024-07-17,00 to 11,2.89,2.66
2024-07-17,12 to 15,0.84,0.8
2024-07-17,16 to 17,1.29,1.08
2024-07-17,18 to 24,1.73,1.44
2024-07-17,25 to 39,1.58,1.39
2024-07-17,40 to 49,1.48,1.38
2024-07-17,50 to 64,1.83,1.64
2024-07-17,65 to 74,2.23,2.12
2024-07-17,75+,2.99,2.9
2024-07-17,All Ages,1.99,1.83
2024-07-18,00 to 11,3.02,2.76
2024-07-18,12 to 15,0.94,0.84
2024-07-18,16 to 17,1.31,1.12
2024-07-18,18 to 24,1.69,1.5
2024-07-18,25 to 39,1.59,1.43
2024-07-18,40 to 49,1.55,1.42
2024-07-18,50 to 64,1.66,1.66
2024-07-18,65 to 74,2.43,2.21
2024-07-18,75+,3.08,2.97
2024-07-18,All Ages,2.03,1.88
2024-07-19,00 to 11,2.93,2.8
2024-07-19,12 to 15,0.93,0.87
2024-07-19,16 to 17,0.98,1.1
2024-07-19,18 to 24,1.49,1.53
2024-07-19,25 to 39,1.46,1.46
2024-07-19,40 to 49,1.48,1.46
2024-07-19,50 to 64,1.72,1.69
2024-07-19,65 to 74,2.3,2.27
2024-07-19,75+,3.07,3.03
2024-07-19,All Ages,1.96,1.92
2024-07-20,00 to 11,3.11,2.88
2024-07-20,12 to 15,1.09,0.91
2024-07-20,16 to 17,1.44,1.15
2024-07-20,18 to 24,1.53,1.58
2024-07-20,25 to 39,1.43,1.5
2024-07-20,40 to 49,1.52,1.5
2024-07-20,50 to 64,1.91,1.73
2024-07-20,65 to 74,2.86,2.34
2024-07-20,75+,3.76,3.1
2024-07-20,All Ages,2.17,1.97
2024-07-21,00 to 11,3.36,2.97
2024-07-21,12 to 15,0.94,0.93
2024-07-21,16 to 17,1.37,1.17
2024-07-21,18 to 24,1.66,1.61
2024-07-21,25 to 39,1.55,1.52
2024-07-21,40 to 49,1.78,1.54
2024-07-21,50 to 64,2.1,1.77
2024-07-21,65 to 74,2.8,2.39
2024-07-21,75+,3.91,3.19
2024-07-21,All Ages,2.3,2.02
2024-07-22,00 to 11,3.35,3.09
2024-07-22,12 to 15,1.14,0.98
2024-07-22,16 to 17,1.38,1.25
2024-07-22,18 to 24,1.78,1.65
2024-07-22,25 to 39,1.72,1.56
2024-07-22,40 to 49,1.73,1.59
2024-07-22,50 to 64,1.77,1.81
2024-07-22,65 to 74,2.33,2.43
2024-07-22,75+,3.35,3.27
2024-07-22,All Ages,2.16,2.07
2024-07-23,00 to 11,3.29,3.14
